,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
70,17199,16686,16942,41,0.0,0.0,0.0,17,Mavericks,41,684138,82,1996,0
71,16524,16473,16498,41,0.0,0.0,0.0,18,Nuggets,41,675426,82,1996,0
72,17435,16438,16936,41,0.0,0.0,0.0,19,Pacers,41,673967,82,1996,0
73,17794,16285,17039,41,0.0,0.0,0.0,20,Rockets,41,667685,82,1996,0
74,18339,15844,17092,41,0.0,0.0,0.0,21,Lakers,41,649634,82,1996,0
75,16577,15782,16179,41,0.0,0.0,0.0,22,Bucks,41,647088,82,1996,0
76,16554,15564,16059,41,0.0,0.0,0.0,23,Nets,41,638144,82,1996,0
77,16761,15025,15893,41,0.0,0.0,0.0,24,Warriors,41,616025,82,1996,0
78,17400,14782,16091,41,0.0,0.0,0.0,25,Heat,41,606091,82,1996,0
79,16201,14284,15243,41,0.0,0.0,0.0,26,Timberwolves,41,585669,82,1996,0
80,17416,12113,14765,41,0.0,0.0,0.0,27,Hawks,41,496669,82,1996,0
81,17661,11934,14798,41,0.0,0.0,0.0,28,76ers,41,489327,82,1996,0
82,16492,10111,13301,41,0.0,0.0,0.0,29,Clippers,41,414560,82,1996,0
83,16616,24042,20329,41,0.0,0.0,0.0,1,Pelicans,41,985722,82,1997,0
84,20059,23864,21962,41,0.0,0.0,0.0,2,Bulls,41,978455,82,1997,0
85,15996,20799,18398,41,0.0,0.0,0.0,3,Trail Blazers,41,852799,82,1997,0
86,17280,20014,18647,41,0.0,0.0,0.0,4,Pistons,41,820585,82,1997,0
87,16888,19791,18339,41,0.0,0.0,0.0,5,Jazz,41,811439,82,1997,0
88,18434,19763,19098,41,0.0,0.0,0.0,6,NY Knicks,41,810283,82,1997,0
89,16503,19023,17763,41,0.0,0.0,0.0,7,Suns,41,779943,82,1997,0
90,16560,18266,17413,41,0.0,0.0,0.0,8,Raptors,41,748927,82,1997,0
91,18304,17721,18013,41,0.0,0.0,0.0,9,Magic,41,726597,82,1997,0
92,15860,17317,16588,41,0.0,0.0,0.0,10,Kings,41,709997,82,1997,0
93,16557,17235,16896,41,0.0,0.0,0.0,11,Spurs,41,706641,82,1997,0
94,16991,17088,17040,41,0.0,0.0,0.0,12,Wizards,41,700646,82,1997,0
95,17359,17072,17215,41,0.0,0.0,0.0,13,Thunder,41,699952,82,1997,0
96,16299,17017,16658,41,0.0,0.0,0.0,14,Timberwolves,41,697727,82,1997,0
97,19014,17003,18009,41,0.0,0.0,0.0,15,Lakers,41,697159,82,1997,0
98,16455,16894,16675,41,0.0,0.0,0.0,16,Cavaliers,41,692684,82,1997,0
99,15220,16571,15895,41,0.0,0.0,0.0,17,Grizzlies,41,679422,82,1997,0
100,17347,16356,16852,41,0.0,0.0,0.0,18,Nets,41,670628,82,1997,0
101,18413,16285,17349,41,0.0,0.0,0.0,19,Rockets,41,667685,82,1997,0
102,17064,16195,16629,41,0.0,0.0,0.0,20,Celtics,41,664022,82,1997,0
103,17330,15530,16430,41,0.0,0.0,0.0,21,Pacers,41,636735,82,1997,0
104,17321,15514,16417,41,0.0,0.0,0.0,22,Bucks,41,636083,82,1997,0
105,17624,15279,16452,41,0.0,0.0,0.0,23,76ers,41,626478,82,1997,0
106,16140,15166,15653,41,0.0,0.0,0.0,24,Warriors,41,621844,82,1997,0
107,15894,15101,15498,41,0.0,0.0,0.0,25,Mavericks,41,619178,82,1997,0
108,17564,15003,16284,41,0.0,0.0,0.0,26,Heat,41,615160,82,1997,0
109,17052,14287,15670,41,0.0,0.0,0.0,27,Hawks,41,585793,82,1997,0
110,16678,11253,13966,41,0.0,0.0,0.0,28,Nuggets,41,461408,82,1997,0
111,16397,9771,13084,41,0.0,0.0,0.0,29,Clippers,41,400637,82,1997,0
112,21969,23988,22978,41,0.0,0.0,0.0,1,Bulls,41,983517,82,1998,0
113,17008,23405,20207,41,0.0,0.0,0.0,2,Pelicans,41,959634,82,1998,0
114,16689,20576,18633,41,0.0,0.0,0.0,3,Trail Blazers,41,843647,82,1998,0
115,17851,19899,18875,41,0.0,0.0,0.0,4,Jazz,41,815889,82,1998,0
116,18397,19763,19080,41,0.0,0.0,0.0,5,NY Knicks,41,810283,82,1998,0
117,16742,19542,18142,41,0.0,0.0,0.0,6,Wizards,41,801240,82,1998,0
118,17556,19379,18468,41,0.0,0.0,0.0,7,Pistons,41,794567,82,1998,0
119,16833,19108,17971,41,0.0,0.0,0.0,8,Spurs,41,783455,82,1998,0
120,16539,19023,17781,41,0.0,0.0,0.0,9,Suns,41,779943,82,1998,0
121,17913,18132,18022,41,0.0,0.0,0.0,10,Celtics,41,743422,82,1998,0
122,16640,18013,17327,41,0.0,0.0,0.0,11,Timberwolves,41,738572,82,1998,0
123,16803,17524,17163,41,0.0,0.0,0.0,12,Nets,41,718523,82,1998,0
124,17047,17450,17248,41,0.0,0.0,0.0,13,Hawks,41,715452,82,1998,0
125,17142,17113,17127,41,0.0,0.0,0.0,14,Magic,41,701647,82,1998,0
126,17020,17072,17046,41,0.0,0.0,0.0,15,Thunder,41,699952,82,1998,0
127,16892,16942,16917,41,0.0,0.0,0.0,16,Cavaliers,41,694629,82,1998,0
128,18829,16877,17853,41,0.0,0.0,0.0,17,Lakers,41,691994,82,1998,0
129,16571,16468,16519,41,0.0,0.0,0.0,18,Raptors,41,675225,82,1998,0
130,17999,16285,17142,41,0.0,0.0,0.0,19,Rockets,41,667685,82,1998,0
131,15504,16108,15806,41,0.0,0.0,0.0,20,Grizzlies,41,660457,82,1998,0
132,17403,15985,16694,41,0.0,0.0,0.0,21,76ers,41,655417,82,1998,0
133,17998,15739,16868,41,0.0,0.0,0.0,22,Pacers,41,645302,82,1998,0
134,16439,15561,16000,41,0.0,0.0,0.0,23,Bucks,41,638034,82,1998,0
135,17573,14996,16285,41,0.0,0.0,0.0,24,Heat,41,614861,82,1998,0
136,16106,14766,15436,41,0.0,0.0,0.0,25,Kings,41,605443,82,1998,0
137,15791,13208,14500,41,0.0,0.0,0.0,26,Mavericks,41,541545,82,1998,0
138,16063,12201,14132,41,0.0,0.0,0.0,27,Warriors,41,500260,82,1998,0
139,15724,11799,13761,41,0.0,0.0,0.0,28,Nuggets,41,483791,82,1998,0
140,15851,9968,12909,41,0.0,0.0,0.0,29,Clippers,41,408693,82,1998,0
141,15369,22400,18885,25,0.0,0.0,0.0,1,Bulls,25,560012,50,1999,0
142,16259,21094,18677,25,0.0,0.0,0.0,2,Spurs,25,527357,50,1999,0
143,18249,19763,19006,25,0.0,0.0,0.0,3,NY Knicks,25,494075,50,1999,0
144,17902,19724,18813,25,0.0,0.0,0.0,4,Jazz,25,493120,50,1999,0
145,16406,19462,17934,25,0.0,0.0,0.0,5,Trail Blazers,25,486556,50,1999,0
146,15568,19232,17400,25,0.0,0.0,0.0,6,Pelicans,25,480807,50,1999,0
147,15718,18891,17304,25,0.0,0.0,0.0,7,Suns,25,472283,50,1999,0
148,17477,17783,17630,25,0.0,0.0,0.0,8,Pistons,25,444585,50,1999,0
149,16616,17624,17120,25,0.0,0.0,0.0,9,Celtics,25,440602,50,1999,0
150,15799,17567,16683,25,0.0,0.0,0.0,10,Raptors,25,439190,50,1999,0
151,18335,17457,17896,25,0.0,0.0,0.0,11,76ers,25,436444,50,1999,0
152,19448,17200,18324,25,0.0,0.0,0.0,12,Lakers,25,430007,50,1999,0
153,16218,17118,16668,25,0.0,0.0,0.0,13,Timberwolves,25,427974,50,1999,0
154,16628,17072,16850,25,0.0,0.0,0.0,14,Thunder,25,426800,50,1999,0
155,16193,16750,16471,25,0.0,0.0,0.0,15,Kings,25,418751,50,1999,0
156,15776,16718,16247,25,0.0,0.0,0.0,16,Grizzlies,25,417966,50,1999,0
157,16640,16614,16627,25,0.0,0.0,0.0,17,Nets,25,415353,50,1999,0
158,17414,16443,16929,25,0.0,0.0,0.0,18,Magic,25,411091,50,1999,0
159,17559,16285,16922,25,0.0,0.0,0.0,19,Rockets,25,407125,50,1999,0
160,17906,16181,17043,25,0.0,0.0,0.0,20,Pacers,25,404536,50,1999,0
161,15674,16099,15886,25,0.0,0.0,0.0,21,Wizards,25,402481,50,1999,0
162,16046,15277,15661,25,0.0,0.0,0.0,22,Bucks,25,381948,50,1999,0
163,17414,15152,16283,25,0.0,0.0,0.0,23,Heat,25,378813,50,1999,0
164,16312,14513,15413,25,0.0,0.0,0.0,24,Mavericks,25,362837,50,1999,0
165,17927,14119,16023,25,0.0,0.0,0.0,25,Cavaliers,25,352992,50,1999,0
166,15534,13433,14484,25,0.0,0.0,0.0,26,Warriors,25,335837,50,1999,0
167,16023,13273,14648,25,0.0,0.0,0.0,27,Hawks,25,331831,50,1999,0
168,16751,11878,14315,25,0.0,0.0,0.0,28,Nuggets,25,296965,50,1999,0
169,16222,10262,13242,25,0.0,0.0,0.0,29,Clippers,25,256568,50,1999,0
170,16270,22118,19194,40,0.0,0.0,0.0,1,Bulls,40,884739,80,2000,0
171,16805,21499,19123,40,0.0,0.0,0.0,2,Spurs,41,859997,81,2000,0
172,17803,20366,19085,40,0.0,0.0,0.0,3,Trail Blazers,40,814665,80,2000,0
173,18556,19763,19159,40,0.0,0.0,0.0,4,NY Knicks,40,790520,80,2000,0
174,17094,19533,18314,40,0.0,0.0,0.0,5,Jazz,40,781357,80,2000,0
175,17179,18852,18016,40,0.0,0.0,0.0,6,Suns,40,754092,80,2000,0
176,19237,18814,19020,41,0.0,0.0,0.0,7,Lakers,39,771410,80,2000,0
177,17206,18461,17842,41,0.0,0.0,0.0,8,76ers,40,756929,81,2000,0
178,17724,18451,18096,41,0.0,0.0,0.0,9,Raptors,39,756496,80,2000,0
179,17119,18345,17724,40,0.0,0.0,0.0,10,Pacers,41,733800,81,2000,0
180,16400,17849,17125,40,0.0,0.0,0.0,11,Pelicans,40,713989,80,2000,0
181,18459,17567,18013,40,0.0,0.0,0.0,12,Kings,40,702716,80,2000,0
182,16880,17190,17035,40,0.0,0.0,0.0,13,Heat,40,687615,80,2000,0
183,17148,16829,16991,40,0.0,0.0,0.0,14,Timberwolves,41,673193,81,2000,0
184,16802,16622,16712,40,0.0,0.0,0.0,15,Celtics,40,664882,80,2000,0
185,16946,16542,16744,40,0.0,0.0,0.0,16,Pistons,40,661699,80,2000,0
186,16464,15685,16075,40,0.0,0.0,0.0,17,Nets,40,627421,80,2000,0
