,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
46,17451.0,13920.0,15685.0,24,0.0,0.0,0.0,21,Vancouver,24,334084,48,1995,0
47,16739.0,13123.0,14931.0,24,0.0,0.0,0.0,22,Edmonton,24,314972,48,1995,0
48,16979.0,13012.0,14996.0,24,0.0,0.0,0.0,23,Arizona,24,312300,48,1995,0
49,15187.0,12573.0,13880.0,24,0.0,0.0,0.0,24,NY Islanders,24,301764,48,1995,0
50,14562.0,11835.0,13198.0,24,0.0,0.0,0.0,25,Carolina,24,284050,48,1995,0
51,14273.0,9879.0,12076.0,24,0.0,0.0,0.0,26,Ottawa,24,237106,48,1995,0
52,16136.0,20390.0,18263.0,41,0.0,0.0,0.0,1,Chicago,41,836021,82,1996,0
53,16556.0,19923.0,18240.0,41,0.0,0.0,0.0,2,Detroit,41,816850,82,1996,0
54,14808.0,18880.0,16844.0,41,0.0,0.0,0.0,3,Tampa Bay,41,774119,82,1996,0
55,0.0,0.0,0.0,771033,82.0,41.0,,4,41,15966,18805,17385,1996,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
56,15955.0,18233.0,17094.0,41,0.0,0.0,0.0,5,Montreal,41,747566,82,1996,0
57,16941.0,18200.0,17570.0,41,0.0,0.0,0.0,6,NY Rangers,41,746200,82,1996,0
58,15483.0,17999.0,16741.0,41,0.0,0.0,0.0,7,Calgary,41,737996,82,1996,0
59,15620.0,17796.0,16708.0,41,0.0,0.0,0.0,8,Vancouver,41,729649,82,1996,0
60,16040.0,17474.0,16757.0,41,0.0,0.0,0.0,9,Boston,41,716443,82,1996,0
61,16452.0,17344.0,16898.0,41,0.0,0.0,0.0,10,Philadelphia,41,711136,82,1996,0
62,15274.0,17190.0,16232.0,41,0.0,0.0,0.0,11,San Jose,41,704790,82,1996,0
63,15623.0,17154.0,16388.0,41,0.0,0.0,0.0,12,Anaheim,41,703347,82,1996,0
64,16571.0,16238.0,16405.0,41,0.0,0.0,0.0,13,Pittsburgh,41,665796,82,1996,0
65,16652.0,16219.0,16435.0,41,0.0,0.0,0.0,14,New Jersey,41,664984,82,1996,0
66,15672.0,16017.0,15844.0,41,0.0,0.0,0.0,15,Colorado,41,656708,82,1996,0
67,16539.0,15729.0,16134.0,41,0.0,0.0,0.0,16,Toronto,41,644923,82,1996,0
68,16211.0,15572.0,15891.0,41,0.0,0.0,0.0,17,Dallas,41,638456,82,1996,0
69,15540.0,15155.0,15347.0,41,0.0,0.0,0.0,18,Washington,41,621357,82,1996,0
70,15972.0,13738.0,14855.0,41,0.0,0.0,0.0,19,Buffalo,41,563271,82,1996,0
71,16747.0,13551.0,15149.0,41,0.0,0.0,0.0,20,Los Angeles,41,555605,82,1996,0
72,15600.0,13278.0,14439.0,41,0.0,0.0,0.0,21,Florida,41,544436,82,1996,0
73,15002.0,13252.0,14127.0,41,0.0,0.0,0.0,22,Ottawa,41,543338,82,1996,0
74,15818.0,12335.0,14076.0,41,0.0,0.0,0.0,23,Edmonton,41,505735,82,1996,0
75,15667.0,11983.0,13825.0,41,0.0,0.0,0.0,24,Carolina,41,491315,82,1996,0
76,16265.0,11355.0,13810.0,41,0.0,0.0,0.0,25,NY Islanders,41,465577,82,1996,0
77,16012.0,11316.0,13664.0,41,0.0,0.0,0.0,26,Arizona,41,463961,82,1996,0
78,16384.0,21001.0,18693.0,41,0.0,0.0,0.0,1,Montreal,41,861072,82,1997,0
79,17210.0,19978.0,18594.0,41,0.0,0.0,0.0,2,Detroit,41,819107,82,1997,0
80,16885.0,19396.0,18141.0,41,0.0,0.0,0.0,3,Chicago,41,795265,82,1997,0
81,16895.0,19311.0,18103.0,41,0.0,0.0,0.0,4,Philadelphia,41,791753,82,1997,0
82,17823.0,18188.0,18005.0,41,0.0,0.0,0.0,5,NY Rangers,41,745714,82,1997,0
83,15709.0,17442.0,16576.0,41,0.0,0.0,0.0,6,Tampa Bay,41,715158,82,1997,0
84,16191.0,17420.0,16805.0,41,0.0,0.0,0.0,7,San Jose,41,714238,82,1997,0
85,16020.0,17320.0,16670.0,41,0.0,0.0,0.0,8,Vancouver,41,710136,82,1997,0
86,16182.0,17088.0,16635.0,41,0.0,0.0,0.0,9,Calgary,41,700643,82,1997,0
87,16727.0,16972.0,16849.0,41,0.0,0.0,0.0,10,Anaheim,41,695867,82,1997,0
88,16365.0,16911.0,16638.0,41,0.0,0.0,0.0,11,Buffalo,41,693379,82,1997,0
89,0.0,0.0,0.0,689079,82.0,41.0,,12,41,16400,16806,16603,1997,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
90,17011.0,16691.0,16851.0,41,0.0,0.0,0.0,13,Pittsburgh,41,684342,82,1997,0
91,16347.0,16398.0,16372.0,41,0.0,0.0,0.0,14,New Jersey,41,672318,82,1997,0
92,16967.0,16061.0,16514.0,41,0.0,0.0,0.0,15,Colorado,41,658501,82,1997,0
93,16135.0,16052.0,16094.0,41,0.0,0.0,0.0,16,Edmonton,41,658146,82,1997,0
94,16372.0,15997.0,16184.0,41,0.0,0.0,0.0,17,Dallas,41,655878,82,1997,0
95,16282.0,15761.0,16022.0,41,0.0,0.0,0.0,18,Washington,41,646234,82,1997,0
96,16685.0,15703.0,16194.0,41,0.0,0.0,0.0,19,Toronto,41,643862,82,1997,0
97,16515.0,15585.0,16050.0,41,0.0,0.0,0.0,20,Arizona,41,639017,82,1997,0
